Model,PrimaryMetric,BestCVPrimaryScore,BestParameters,BestCV_Accuracy,BestCV_Accuracy_Std,BestCV_Precision,BestCV_Precision_Std,BestCV_Recall,BestCV_Recall_Std,BestCV_F1,BestCV_F1_Std,BestCV_ROC_AUC,BestCV_ROC_AUC_Std,BestCV_PR_AUC,BestCV_PR_AUC_Std
Logistic Regression,ROC_AUC,0.7708362012266936,"{""model__C"": 0.03, ""model__class_weight"": null, ""model__solver"": ""liblinear""}",0.7147058823529411,0.06681068642117967,0.7603381706829982,0.09648463611033921,0.7220483641536273,0.035457599602088635,0.7377856214423378,0.05029980128469942,0.7708362012266936,0.054772013183452296,0.8255982167110532,0.05564818648231772
Decision Tree,ROC_AUC,0.7716347756925007,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5}",0.726470588235294,0.04705882352941172,0.7898516344336779,0.07859607527605003,0.6951635846372689,0.02746371771203488,0.7375884654016603,0.03774794944677768,0.7716347756925007,0.08504196750036129,0.7661410207197139,0.07019100820799815
Random Forest,ROC_AUC,0.7884430780525857,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.7264705882352942,0.07119834374653061,0.7950210765711994,0.09929786809376882,0.6897581792318634,0.0366557234598681,0.7369965274759318,0.059191225814271685,0.7884430780525857,0.0732283539376813,0.8342950093785619,0.062275498543790345
XGBoost,ROC_AUC,0.8047144342984751,"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.1, ""model__learning_rate"": 0.02, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.7147058823529411,0.0711983437465306,0.7569996549344375,0.10576403588375688,0.7378378378378379,0.04704415728840829,0.7424107936764168,0.0509879282057991,0.8047144342984751,0.07337587653783376,0.8382251639474216,0.06662754054542849
