Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TrueNegative,FalsePositive,FalseNegative,TruePositive,Version
Logistic Regression,0.6236162361623616,0.1714285714285714,0.5454545454545454,0.2608695652173913,0.6546982429335371,0.1970917941523982,151,87,15,18,Baseline
Decision Tree,0.7712177121771218,0.1627906976744186,0.2121212121212121,0.1842105263157894,0.5304303539597657,0.1304723195223495,202,36,26,7,Baseline
Random Forest,0.8487084870848709,0.3,0.1818181818181818,0.2264150943396226,0.6273236567354215,0.196789414233299,224,14,27,6,Baseline
XGBoost,0.7933579335793358,0.2444444444444444,0.3333333333333333,0.282051282051282,0.658008658008658,0.218114861271165,204,34,22,11,Baseline
Logistic Regression,0.6236162361623616,0.1891891891891892,0.6363636363636364,0.2916666666666667,0.6189202953908837,0.17317229152315533,148,90,12,21,Tuned
Decision Tree,0.5867158671586716,0.1504424778761062,0.5151515151515151,0.2328767123287671,0.5907817672523555,0.17436585944047975,142,96,16,17,Tuned
Random Forest,0.7712177121771218,0.17777777777777778,0.24242424242424243,0.20512820512820512,0.6592818945760122,0.21041513328204167,201,37,25,8,Tuned
XGBoost,0.7490774907749077,0.23076923076923078,0.45454545454545453,0.30612244897959184,0.6566080977845684,0.21293296408533005,188,50,18,15,Tuned
