Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TrueNegative,FalsePositive,FalseNegative,TruePositive,Version
Logistic Regression,0.7058823529411765,0.7291666666666666,0.7446808510638298,0.7368421052631579,0.667973124300112,0.6979203441404255,25,13,12,35,Baseline
Decision Tree,0.5882352941176471,0.6428571428571429,0.574468085106383,0.6067415730337079,0.5898656215005599,0.6045950295011622,23,15,20,27,Baseline
Random Forest,0.7294117647058823,0.7608695652173914,0.7446808510638298,0.7526881720430108,0.7200447928331467,0.7324689161689025,27,11,12,35,Baseline
XGBoost,0.7176470588235294,0.7346938775510204,0.7659574468085106,0.75,0.7390817469204928,0.7463920002979052,25,13,11,36,Baseline
Logistic Regression,0.7176470588235294,0.7346938775510204,0.7659574468085106,0.75,0.729003359462486,0.7606764068771114,25,13,11,36,Tuned
Decision Tree,0.6352941176470588,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.7038073908174692,0.6986039027148888,28,10,21,26,Tuned
Random Forest,0.7176470588235294,0.7674418604651163,0.7021276595744681,0.7333333333333333,0.7670772676371781,0.7991680651623579,28,10,14,33,Tuned
XGBoost,0.7294117647058823,0.7608695652173914,0.7446808510638298,0.7526881720430108,0.7561590145576708,0.7385109413580967,27,11,12,35,Tuned
