Model,PrimaryMetric,BestCVPrimaryScore,BestParameters,BestCV_Accuracy,BestCV_Accuracy_Std,BestCV_Precision,BestCV_Precision_Std,BestCV_Recall,BestCV_Recall_Std,BestCV_F1,BestCV_F1_Std,BestCV_ROC_AUC,BestCV_ROC_AUC_Std,BestCV_PR_AUC,BestCV_PR_AUC_Std
Logistic Regression,PR_AUC,0.20320459153156065,"{""model__C"": 0.01, ""model__solver"": ""lbfgs""}",0.6190049496501109,0.050010499836989276,0.18197644662404464,0.03934440802557624,0.5931623931623932,0.11463333907965745,0.2781760797199955,0.05816716649026122,0.6352189351528013,0.051116024509679815,0.20320459153156065,0.04158381856394105
Decision Tree,PR_AUC,0.20506711831392668,"{""model__criterion"": ""gini"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.5138035500938727,0.08649294009498111,0.16769070168676467,0.013076070506207208,0.7458689458689459,0.17818821785351077,0.270612367411261,0.026372130295261243,0.6512538124745344,0.04047240070417595,0.20506711831392668,0.02895768564583491
Random Forest,PR_AUC,0.1950170365958029,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 14, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",0.766636798088411,0.0307208295194698,0.18154534184212842,0.052395889118163924,0.25584045584045584,0.07988189429644049,0.21084027084027085,0.06099024813931664,0.6411385648530867,0.0495227991873043,0.1950170365958029,0.04234389252114536
XGBoost,PR_AUC,0.20968390365020198,"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.3, ""model__learning_rate"": 0.02, ""model__max_depth"": 5, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__scale_pos_weight"": 7.150375939849624, ""model__subsample"": 0.7}",0.7066478921317632,0.04304983161698774,0.17694708722185054,0.03334985562281842,0.36809116809116804,0.04682776253288741,0.23802653366704338,0.03801627834818591,0.6390872435485276,0.041678458892793285,0.20968390365020198,0.041956998740380676
